lineages_l,number_genomes_per_lineage
EU.1,114
EU.1.1,354
EU.1.1.1,134
EU.1.1.2,6
EU.1.1.3,34
EW.1,41
EW.2,23
EW.3,3
EY.1,12
EZ.1,6
FA.1,1
FB.2,1
FD.1.1,1
FD.2,11
FD.4,19
FD.4.1,15
FD.5.1,1
FE.1,8
FE.1.1,8
FE.1.1.1,1
FE.1.2,11
FF.1,3
FG.2,5
FG.3,6
FH.1,38
FJ.1,3
FK.1.2,5
FK.1.2.1,28
FK.1.5,1
FL.1,14
FL.1.3,1
FL.1.5,12
FL.1.5.1,35
FL.1.5.2,3
FL.10,131
FL.10.1,1
FL.12,20
FL.13,116
FL.13.1,1
FL.13.3,2
FL.15,1
FL.15.1.1,22
FL.15.2,1
FL.15.4,1
FL.17,24
FL.18,17
FL.19,4
FL.2,147
FL.2.1,270
FL.2.3,2
FL.2.4,6
FL.2.6,1
FL.2.7,2
FL.20,3
FL.20.1,7
FL.20.2,3
FL.21,2
FL.22,1
FL.24,4
FL.24.1,4
FL.25,3
FL.26,19
FL.27,20
FL.29,7
FL.3,220
FL.3.1,21
FL.3.2,10
FL.3.3,1
FL.31,1
FL.32.1,1
FL.33,30
FL.35,2
FL.36,1
FL.37,1
FL.4,313
FL.4.1,4
FL.4.5,16
FL.4.9,1
FL.40,1
FL.5,187
FL.7,4
FL.8,197
FL.9,23
FM.1,4
FM.2,206
FR.1,11
FR.2,1
FS.1,3
FT.3.1.1,1
FT.4,45
FU.1,11
FU.2,3
FU.2.1,2
FU.5,1
FW.1,3
FY.1,5
FY.1.1,1
FY.1.2,8
FY.1.2.2,2
FY.1.2.3,2
FY.2,2
FY.3.1,3
FY.3.2,2
FY.4,1
FY.4.1,2
FY.4.1.2,2
FY.5,1
FY.5.1,4
FY.5.1.1,5
FY.5.4,3
FY.6,1
FY.8,1
FZ.1,1
GA.2,15
GA.3,1
GA.4.1,10
GA.5,56
GB.1,47
GB.2,1
GC.2,1
GD.2,5
GE.1,11
GE.1.1,5
GE.1.2,2
GE.1.3,4
GE.1.4,4
GE.1.5,6
GE.1.6,6
GF.1,44
GG.1,3
GJ.1.1,3
GJ.1.2,12
GJ.1.2.2,3
GJ.1.2.4,1
GJ.1.2.7,1
GK.1,6
GK.1.1,9
GK.1.1.1,3
GK.1.6.1,1
GK.1.9,1
GK.2,1
GK.2.1,12
GK.3.1,2
GK.4,1
GK.7,1
GL.1,3
GL.3,3
GN.1,2
GN.1.1,1
GN.3,1
GN.4,1
GP.1,8
GP.2,278
GP.3,23
GR.1,1
GS.4,7
GS.4.1,30
GS.5,1
GS.7,1
GS.8,1
GT.1,1
GW.3,1
GW.5.2,1
GW.5.3,1
GW.5.3.1,1
GY.6,1
HE.1,1
HF.1,13
HH.1,6
HH.1.1,1
HH.2,2
HH.5,1
HH.7,2
HK.1,1
HK.1.2,3
HK.11,1
HK.11.1,8
HK.13,1
HK.13.1,12
HK.13.2.1,2
HK.15,3
HK.17,2
HK.2,2
HK.23,1
HK.25,3
HK.26,12
HK.27,1
HK.27.1,1
HK.28,3
HK.3,113
HK.3.1,9
HK.3.10,1
HK.3.2,21
HK.3.2.1,1
HK.3.3,1
HK.3.4,7
HK.3.6,1
HK.30,15
HK.31,4
HK.32,1
HK.6,12
HK.8,2
HN.1,4
HN.2.1,3
HN.4,4
HN.5,7
HN.6,8
HN.7,1
HP.1.1,2
HV.1,96
HV.1.1,6
HV.1.2,3
HV.1.3,1
HV.1.4,2
HV.1.5,2
HV.1.6,2
HW.1.1,3
HZ.1,2
JA.1,1
JB.2.1,1
JD.1.1,78
JD.1.1.1,8
JD.1.1.3,5
JD.1.1.4,1
JD.1.1.6,2
JD.1.1.7,7
JD.1.1.8,1
JD.2,10
JE.1.1.1,1
JF.1,7
JF.1.1,25
JF.4,13
JG.1,3
JG.2,1
JG.3,92
JG.3.1,46
JG.3.3,2
JG.4,19
JH.1,1
JM.2,1
JN.1,715
JN.1.1,85
JN.1.1.1,2
JN.1.1.2,2
JN.1.1.3,3
JN.1.1.4,1
JN.1.1.6,1
JN.1.10,15
JN.1.11.1,12
JN.1.12,1
JN.1.13,2
JN.1.13.1,5
JN.1.15,1
JN.1.16,33
JN.1.16.1,21
JN.1.16.2,4
JN.1.16.3,3
JN.1.18,11
JN.1.18.2,11
JN.1.18.3,4
JN.1.18.5,1
JN.1.19,14
JN.1.2,2
JN.1.20,1
JN.1.21,4
JN.1.22,20
JN.1.28,2
JN.1.29,1
JN.1.3,8
JN.1.30,2
JN.1.31,4
