,Day since infection,"Proba Neut Min
 vs. BN antigen","Proba Neut Max
 vs. BN antigen","Proba Neut Min
 vs. bbb antigen","Proba Neut Max
 vs. bbb antigen"
400,401,0.00043729100386269426,0.34116476794732686,8.736797234953908e-05,0.0822718630274063
401,402,0.0004253362339640132,0.33850325868474196,8.497900533754876e-05,0.08148833674701195
402,403,0.0004137082073960574,0.33585602498316547,8.26553585622225e-05,0.0807118972727191
403,404,0.0004023979979996817,0.33322310452132764,8.039524617298177e-05,0.07994248780242286
404,405,0.0003913969232350878,0.3306045325547853,7.819693113386705e-05,0.07918005184495769
405,406,0.00038069653754579935,0.3280003419476746,7.605872389260249e-05,0.07842453322146781
406,407,0.0003702886259020488,0.32541056320459194,7.397898108074674e-05,0.07767587606669613
407,408,0.0003601651975184694,0.32283522450258406,7.195610425281274e-05,0.07693402483018541
408,409,0.0003503184797450931,0.3202743517232358,6.99885386590271e-05,0.07619892427740227
409,410,0.0003407409121219951,0.31772796848483487,6.807477204950896e-05,0.07547051949077543
410,411,0.00033142514059469885,0.315196096174599,6.621333351553016e-05,0.07474875587066121
411,412,0.0003223640118895643,0.3126787539809548,6.440279235708779e-05,0.07403357913622755
412,413,0.0003135505680406103,0.3101759589258489,6.264175698578178e-05,0.07332493532626816
413,414,0.00030497804106399684,0.3076877258970768,6.0928873855004007e-05,0.07262277079993651
414,415,0.0002966398477786125,0.30521406768061743,5.926282642032543e-05,0.07192703223741559
415,416,0.00028852958476766055,0.30275499499296243,5.764233412897113e-05,0.07123766664051356
416,417,0.00028064102347469255,0.3003105165134209,5.606615143571858e-05,0.07055462133318868
417,418,0.0002729681054384203,0.2978806389163884,5.453306684610748e-05,0.06987784396201413
418,419,0.0002655049376505403,0.2954653669035756,5.30419019854067e-05,0.06920728249657093
419,420,0.0002582457880443423,0.2930647032361704,5.159151069400458e-05,0.0685428852297808
420,421,0.00025118508110422155,0.2906786487669336,5.018077814644695e-05,0.06788460077817493
421,422,0.00024431739359653815,0.28830720247221286,4.8808619995677205e-05,0.06723237808210336
422,423,0.0002376374504122758,0.28595036148386166,4.747398153925886e-05,0.06658616640588333
423,424,0.00023114012053038202,0.2836081211210564,4.617583690913474e-05,0.06594591533789051
424,425,0.00022482041308125034,0.28128047492199737,4.491318828403479e-05,0.06531157479059502
425,426,0.00021867347352688693,0.27896741467548725,4.3685065122534006e-05,0.06468309500053793
426,427,0.00021269457993799978,0.27666893045237717,4.249052341687154e-05,0.06406042652826083
427,428,0.0002068791393771141,0.27438501063686715,4.1328644969307327e-05,0.06344352025817557
428,429,0.00020122268437705593,0.27211564195765636,4.0198536684465935e-05,0.06283232739838807
429,430,0.00019572086951691325,0.26986080951893165,3.909932988443998e-05,0.06222679948047016
430,431,0.00019036946809103394,0.2676204968311908,3.803017964143507e-05,0.06162688835918251
431,432,0.00018516436886961696,0.2653946858418833,3.699026412828932e-05,0.06103254621215182
432,433,0.00018010157294467977,0.26318335696587114,3.597878398620136e-05,0.060443725539499726
