,Day since infection,"Proba Neut Min
 vs. BA.2 antigen","Proba Neut Max
 vs. BA.2 antigen","Proba Neut Min
 vs. B303000 antigen","Proba Neut Max
 vs. B303000 antigen"
417,418,0.0002729681054384203,0.2978806389163884,0.00013271344894749681,0.16007489485653437
418,419,0.0002655049376505403,0.2954653669035756,0.00012908466827110665,0.15863093978860576
419,420,0.0002582457880443423,0.2930647032361704,0.00012555510192913122,0.15719854880558604
420,421,0.00025118508110422155,0.2906786487669336,0.00012212203770256558,0.15577765685577083
421,422,0.00024431739359653815,0.28830720247221286,0.00011878283749411356,0.15436819870936325
422,423,0.0002376374504122758,0.28595036148386166,0.00011553493530502834,0.15297010897209073
423,424,0.00023114012053038202,0.2836081211210564,0.0001123758352650217,0.15158332209857206
424,425,0.00022482041308125034,0.28128047492199737,0.00010930310971668522,0.1502077724054246
425,426,0.00021867347352688693,0.27896741467548725,0.0001063143973535352,0.14884339408412528
426,427,0.00021269457993799978,0.27666893045237717,0.00010340740140379889,0.14749012121361804
427,428,0.0002068791393771141,0.27438501063686715,0.0001005798878730424,0.14614788777267895
428,429,0.00020122268437705593,0.27211564195765636,9.782968382454627e-05,0.1448166276520335
429,430,0.00019572086951691325,0.26986080951893165,9.515467571286074e-05,0.14349627466623327
430,431,0.00019036946809103394,0.2676204968311908,9.255280776221397e-05,0.1421867625652954
431,432,0.00018516436886961696,0.2653946858418833,9.00220803856655e-05,0.14088802504609943
432,433,0.00018010157294467977,0.26318335696587114,8.75605486537756e-05,0.13959999576355864
433,434,0.00017517719066539872,0.2609864891156971,8.516632079702546e-05,0.13832260834154875
434,435,0.00017038743865593897,0.258804059731651,8.28375567568651e-05,0.13705579638361753
435,436,0.00016572863691266537,0.25663604481163493,8.057246677084517e-05,0.13579949348346088
436,437,0.00016119720598251064,0.25448241894081347,7.836930999871594e-05,0.13455363323517577
437,438,0.00015678966421794893,0.25234315532104434,7.622639318560775e-05,0.133318149243296
438,439,0.00015250262510713153,0.250218225800089,7.414206936218193e-05,0.13209297513260287
439,440,0.00014833279467407756,0.2481076009005876,7.211473657975365e-05,0.13087804455772334
440,441,0.00014427696895502606,0.2460112498488044,7.014283667994281e-05,0.12967329121251148
441,442,0.0001403320315374046,0.24392914060312965,6.822485409763157e-05,0.12847864883922344
442,443,0.00013649495117074029,0.24186123988233554,6.635931469767264e-05,0.12729405123747928
443,444,0.00013276277944107573,0.23980751319358418,6.45447846427949e-05,0.12611943227301914
444,445,0.0001291326485068911,0.2377679248601806,6.277986929170698e-05,0.12495472588626066
